00026,2017-06,83.1939,19.4217,4.02,96.5982,-2.0885,0.84,1386.0,-2.0885,0.84,794.0,0.5286,0.54
00026,2017-12,92.355,-3.939,0.98,93.897,0.5286,0.54,794.0,0.5286,0.54,2080.0,-3.5828,0.29
00026,2018-06,92.5563,-1.6336,0.53,91.988,-3.5828,0.29,2080.0,-3.5828,0.29,915.0,0.6492,0.36
00027,2015-12,18.1331,-10.6178,0.0,18.8576,4.5337,0.0,97.8,4.5337,0.0,60.0,-5.8502,0.0
00027,2016-06,18.9911,4.429,0.0,21.1867,-5.8502,0.0,60.0,-5.8502,0.0,147.3,4.4355,22.68
00027,2016-12,21.0909,5.9368,0.0,28.1161,4.4355,22.68,147.3,4.4355,22.68,108.3,4.7239,20.84
00027,2017-06,31.3955,8.7061,23.17,38.1445,4.7239,20.84,108.3,4.7239,20.84,245.1,7.5018,16.39
00027,2017-12,42.6092,7.7176,19.62,49.8057,7.5018,16.39,245.1,7.5018,16.39,167.0,-10.3207,17.04
00027,2018-06,57.423,8.7513,19.42,56.9226,-10.3207,17.04,167.0,-10.3207,17.04,312.8,0.1558,23.05
00028,2015-12,3.1196,-0.5217,0.83,3.5221,0.101,9.32,172.56,0.101,9.32,34.06,0.1736,0.25
00028,2016-06,3.0441,-0.2768,2.69,3.3292,0.1736,0.25,34.06,0.1736,0.25,379.0,0.288,1.68
00028,2016-12,3.4834,0.1314,0.44,3.5095,0.288,1.68,379.0,0.288,1.68,110.91,-0.5852,1.52
00028,2017-06,3.8317,1.4639,8.69,4.6858,-0.5852,1.52,110.91,-0.5852,1.52,136.0,-0.4485,2.02
00028,2017-12,4.5394,0.6586,1.81,4.6584,-0.4485,2.02,136.0,-0.4485,2.02,55.54,-0.4579,0.86
00028,2018-06,4.3747,-0.4398,2.16,3.9618,-0.4579,0.86,55.54,-0.4579,0.86,83.0,0.0198,0.55
00029,2015-12,2.3002,-0.9492,3.43,2.674,0.9132,1.94,23.73,0.9132,1.94,42.7,-0.0649,2.11
00029,2016-06,2.4173,-0.6003,4.01,2.7389,-0.0649,2.11,42.7,-0.0649,2.11,25.8,-0.0394,2.98
00029,2016-12,2.8267,1.9903,9.94,4.4837,-0.0394,2.98,25.8,-0.0394,2.98,51.4,-0.4938,4.38
00029,2017-06,4.4229,3.0011,11.11,6.8065,-0.4938,4.38,51.4,-0.4938,4.38,35.05,-0.0867,2.81
00029,2017-12,7.2885,0.7472,4.55,7.2393,-0.0867,2.81,35.05,-0.0867,2.81,56.0,-0.0441,2.64
00029,2018-06,7.3654,-0.4739,4.56,7.2308,-0.0441,2.64,56.0,-0.0441,2.64,19.69,1.6054,3.48
00030,2015-09,0.1285,0.12,260.52,0.1092,-0.12,86.34,-0.98,-0.12,86.34,-1.58,-0.03,15.01
00030,2016-03,0.1395,-0.03,16.85,0.1147,-0.03,15.01,-1.58,-0.03,15.01,-0.18,0.04,18.16
00030,2016-09,0.0798,-0.04,11.81,0.0854,0.04,18.16,-0.18,0.04,18.16,-6.04,0.14,93.71
00030,2017-03,0.1147,0.02,21.42,0.111,0.14,93.71,-6.04,0.14,93.71,0.12,0.04,196.47
00030,2017-09,0.24,0.02,36.2,0.228,0.04,196.47,0.12,0.04,196.47,-0.03,-0.01,5.83
00030,2018-03,0.275,0.0,19.0,0.2,-0.01,5.83,-0.03,-0.01,5.83,0.34,0.0,4.48
00031,2015-12,0.7577,-0.75,65.44,0.9354,0.01,23.7,31.92,0.01,23.7,20.1,-0.07,8.46
00031,2016-06,0.7577,-0.02,13.13,0.8414,-0.07,8.46,20.1,-0.07,8.46,25.81,-0.04,8.21
00031,2016-12,0.8887,0.07,15.39,0.8887,-0.04,8.21,25.81,-0.04,8.21,6.53,-0.02,8.79
00031,2017-06,0.917,0.05,12.46,0.945,-0.02,8.79,6.53,-0.02,8.79,15.76,-0.09,9.86
00031,2017-12,0.8679,0.04,13.5,0.8486,-0.09,9.86,15.76,-0.09,9.86,5.32,-0.1,4.57
00031,2018-06,0.7714,-0.12,10.49,0.73,-0.1,4.57,5.32,-0.1,4.57,13.1,-0.12,8.55
00032,2015-12,7.7383,0.24,2.49,9.087,0.07,1.89,166.0,0.07,1.89,33.0,0.44,1.72
00032,2016-06,8.3261,-0.06,1.07,9.2329,0.44,1.72,33.0,0.44,1.72,110.0,0.79,3.01
00032,2016-12,9.7384,-0.08,1.74,9.7379,0.79,3.01,110.0,0.79,3.01,150.0,0.26,1.16
00032,2017-06,10.1889,0.4,1.46,10.7949,0.26,1.16,150.0,0.26,1.16,317.0,0.72,2.46
00032,2017-12,11.2422,0.5,2.21,11.8812,0.72,2.46,317.0,0.72,2.46,-34.0,0.38,0.84
00032,2018-06,12.1903,-0.28,1.36,12.4048,0.38,0.84,-34.0,0.38,0.84,120.0,-1.3,2.86
00033,2015-12,0.089,-0.08,51.49,0.103,-0.03,14.86,-1.14,-0.03,14.86,-0.56,0.07,45.09
00033,2016-06,0.09,0.06,37.38,0.165,0.07,45.09,-0.56,0.07,45.09,-1.28,-0.02,6.09
00033,2016-12,0.119,-0.05,13.14,0.112,-0.02,6.09,-1.28,-0.02,6.09,-0.58,0.07,18.59
00033,2017-06,0.069,-0.01,12.11,0.061,0.07,18.59,-0.58,0.07,18.59,-1.51,0.04,16.82
00033,2017-12,0.058,0.01,8.22,0.067,0.04,16.82,-1.51,0.04,16.82,-0.91,-0.01,4.16
00033,2018-06,0.095,0.02,12.96,0.08,-0.01,4.16,-0.91,-0.01,4.16,-1.1,-0.01,9.92
00034,2015-12,6.6185,-0.7,1.32,6.0085,-0.96,1.59,104.0,-0.96,1.59,25.0,0.11,0.7
00034,2016-06,4.5123,-0.31,1.21,5.5098,0.11,0.7,25.0,0.11,0.7,82.0,-0.16,0.69
00034,2016-12,5.8502,0.6,1.32,5.9974,-0.16,0.69,82.0,-0.16,0.69,36.0,0.71,4.51
00034,2017-06,6.2027,0.66,2.4,6.8872,0.71,4.51,36.0,0.71,4.51,141.0,-0.27,0.86
00034,2017-12,7.4813,0.25,2.9,7.3724,-0.27,0.86,141.0,-0.27,0.86,90.0,-0.04,1.52
00034,2018-06,7.3265,0.44,1.17,7.6662,-0.04,1.52,90.0,-0.04,1.52,186.0,0.11,1.34
00035,2015-09,2.3716,0.59,6.75,2.2259,-0.6,3.78,13.7,-0.6,3.78,37.0,-0.38,4.09
00035,2016-03,2.1647,0.04,5.04,1.8637,-0.38,4.09,37.0,-0.38,4.09,32.0,0.7,4.14
00035,2016-09,1.8808,-0.06,2.97,2.0945,0.7,4.14,32.0,0.7,4.14,51.0,0.28,2.91
