16.8395,3.5,12.06,19.9389,2.36,16.69,81.1,2.36,16.69,182.61,-3.54,10.13
4.257,-2.58,19.43,4.0254,-0.08,10.78,52.5,-0.08,10.78,29.73,-0.33,4.9
3.0214,-0.7,8.69,3.1156,-0.33,4.9,29.73,-0.33,4.9,48.03,0.38,8.06
3.1533,0.17,10.2,3.3814,0.38,8.06,48.03,0.38,8.06,26.49,0.41,14.83
3.7444,-0.15,9.67,3.8208,0.41,14.83,26.49,0.41,14.83,45.57,-0.29,4.55
3.8369,-0.31,5.79,3.407,-0.29,4.55,45.57,-0.29,4.55,20.64,-0.19,2.68
3.3191,-0.23,5.73,3.2128,-0.19,2.68,20.64,-0.19,2.68,43.99,0.25,1.72
6.494,-2.64,9.78,6.7237,0.16,10.75,45.0,0.16,10.75,-17.0,0.68,9.38
5.6265,0.98,11.62,7.4259,0.68,9.38,-17.0,0.68,9.38,1.0,0.09,8.7
7.9622,0.13,7.86,8.463,0.09,8.7,1.0,0.09,8.7,36.0,-0.45,8.56
7.9797,-0.43,10.5,7.9089,-0.45,8.56,36.0,-0.45,8.56,55.0,1.04,9.5
7.9369,1.6,10.92,9.3896,1.04,9.5,55.0,1.04,9.5,57.0,2.21,11.47
10.2502,0.34,10.93,10.4605,2.21,11.47,57.0,2.21,11.47,134.67,-3.4,10.44
1.0848,-0.56,10.84,1.1581,0.32,6.16,32.0,0.32,6.16,12.6,0.12,5.47
1.1413,0.13,8.02,1.4857,0.12,5.47,12.6,0.12,5.47,42.0,-0.36,8.83
1.6725,0.49,9.02,1.7708,-0.36,8.83,42.0,-0.36,8.83,32.0,0.55,12.38
1.8702,0.87,13.74,2.4575,0.55,12.38,32.0,0.55,12.38,68.0,0.31,16.2
3.242,0.87,28.86,3.7229,0.31,16.2,68.0,0.31,16.2,45.0,-1.64,15.52
4.5248,2.05,34.4,4.5991,-1.64,15.52,45.0,-1.64,15.52,79.89,0.56,17.43
0.355,-0.25,26.17,0.365,0.18,10.82,0.52,0.18,10.82,0.59,-0.04,5.89
0.44,0.01,6.79,0.495,-0.04,5.89,0.59,-0.04,5.89,1.59,0.02,6.35
0.455,0.03,6.88,0.465,0.02,6.35,1.59,0.02,6.35,2.23,-0.04,2.46
0.4,0.02,3.06,0.37,-0.04,2.46,2.23,-0.04,2.46,1.91,0.03,9.79
0.36,-0.01,2.95,0.37,0.03,9.79,1.91,0.03,9.79,-4.41,-0.07,3.1
0.345,0.01,3.3,0.27,-0.07,3.1,-4.41,-0.07,3.1,-25.49,-0.11,4.64
0.54,0.74,51.45,0.5667,-0.51,12.02,5.42,-0.51,12.02,8.95,-0.08,3.16
0.72,0.03,8.89,0.58,-0.08,3.16,8.95,-0.08,3.16,-5.75,-0.09,12.35
0.66,-0.01,9.74,0.62,-0.09,12.35,-5.75,-0.09,12.35,0.27,0.04,6.03
0.455,-0.18,6.96,0.46,0.04,6.03,0.27,0.04,6.03,-1.73,0.18,14.03
0.455,-0.03,7.72,0.48,0.18,14.03,-1.73,0.18,14.03,-5.98,-0.14,12.11
